key,prezzo_vinted,ct_min,note
Pokemon|Auto|001/001|UNK|ITA|35,1.00,,exp non trovata
Pokemon|Aluto|231/090|PAF|ITA|36,1.00,,exp non trovata
Pokemon|Aluto|190/195|UNK|ITA|37,1.00,,exp non trovata
Pokemon|Studenti|001/001|PAF|ITA|38,1.00,,exp non trovata
Pokemon|Aiute|001/001|PAF|ITA|39,1.00,,exp non trovata
Pokemon|Basg|004/094|UNK|ITA|40,1.00,,exp non trovata
Pokemon|Energia|001/001|UNK|ITA|41,1.00,,exp non trovata
Pokemon|Base|081/162|UNK|ITA|42,1.00,,exp non trovata
Pokemon|Basa|107/217|UNK|ITA|43,1.00,,exp non trovata
Pokemon|Gasgi|037/191|SSP|ITA|44,1.00,,exp non trovata
Pokemon|Ase|147/191|SSP|ITA|45,1.00,,exp non trovata
Pokemon|Basa|066/182|UNK|ITA|46,1.00,,exp non trovata
Pokemon|Base|160/191|SSP|ITA|47,1.00,,exp non trovata
Pokemon|Basg|081/198|SVI|ITA|48,1.00,,exp non trovata
Pokemon|Fase|029/167|UNK|ITA|49,1.00,,exp non trovata
Pokemon|Fase|068/167|UNK|ITA|50,1.00,,exp non trovata
Pokemon|Base|081/198|SVI|ITA|51,1.00,,exp non trovata
Pokemon|Basg|122/162|UNK|ITA|52,1.00,,exp non trovata
Pokemon|Fas|045/086|UNK|ITA|53,1.00,,exp non trovata
Pokemon|Basig|760/191|SSP|ITA|54,1.00,,exp non trovata
Pokemon|Empoleon|070/094|UNK|ITA|55,1.00,,exp non trovata
Pokemon|Fasc|001/001|PAF|ITA|56,1.00,,exp non trovata
Pokemon|Fase|010/091|PAF|ITA|57,1.00,,exp non trovata
Pokemon|Base|074/132|UNK|ITA|58,1.00,,exp non trovata
Pokemon|Fasg|079/094|UNK|ITA|59,1.00,,exp non trovata
Pokemon|Fasa|001/001|UNK|ITA|60,1.00,,exp non trovata
Pokemon|Gase|073/197|OBF|ITA|61,1.00,,exp non trovata
Pokemon|Gase|079/159|UNK|ITA|62,1.00,,exp non trovata
Pokemon|Gase|034/094|UNK|ITA|63,1.00,,exp non trovata
Pokemon|Gase|011/182|UNK|ITA|64,1.00,,exp non trovata
Pokemon|Base|1/7|UNK|ITA|65,1.00,,exp non trovata
Pokemon|Base|141/159|UNK|ITA|66,1.00,,exp non trovata
Pokemon|Fasg|024/217|UNK|ITA|67,1.00,,exp non trovata
Pokemon|Energia|086/086|UNK|ITA|68,1.00,,exp non trovata
Pokemon|Basg|021/167|UNK|ITA|69,1.00,,exp non trovata
Pokemon|Fasg|045/167|TWM|ITA|70,1.00,,exp non trovata
Pokemon|Basg|027/091|PAF|ITA|71,1.00,,exp non trovata
Pokemon|Fase|140/167|UNK|ITA|72,1.00,,exp non trovata
Pokemon|Fasg|014/191|UNK|ITA|73,1.00,,exp non trovata
Pokemon|Fase|042/064|UNK|ITA|74,1.00,,exp non trovata
Pokemon|Fasg|085/159|UNK|ITA|75,1.00,,exp non trovata
Pokemon|Base|017/094|UNK|ITA|76,1.00,,exp non trovata
Pokemon|Gasg|042/064|UNK|ITA|77,1.00,,exp non trovata
Pokemon|Fase|012/217|UNK|ITA|78,1.00,,exp non trovata
Pokemon|Fase|001/001|UNK|ITA|79,1.00,,exp non trovata
Pokemon|Base|095/132|UNK|ITA|80,1.00,,exp non trovata
Pokemon|Fasg|080/131|PRE|ITA|81,1.00,,exp non trovata
Pokemon|Base|025/217|UNK|ITA|82,1.00,,exp non trovata
Pokemon|Fase|030/21|UNK|ITA|83,1.00,,exp non trovata
Pokemon|Gase|034/094|UNK|ITA|84,1.00,,exp non trovata
Pokemon|Fase|001/001|UNK|ITA|85,1.00,,exp non trovata
Pokemon|Base|042/086|UNK|ITA|86,1.00,,exp non trovata
Pokemon|Lastt|001/001|UNK|ITA|87,1.00,,exp non trovata
Pokemon|Cfaliv|001/001|UNK|ITA|88,1.00,,exp non trovata
Pokemon|Syfdx|056/086|UNK|ITA|89,1.00,,exp non trovata
Pokemon|Btitt|001/008|UNK|ITA|90,1.00,,exp non trovata
Pokemon|Imitt|004/008|UNK|ITA|91,1.00,,exp non trovata
Pokemon|Mitt|730/127|UNK|ITA|92,1.00,,exp non trovata
Pokemon|Jlit|001/001|SVP|ITA|93,1.00,,exp non trovata
Pokemon|Niaeb|001/001|UNK|ITA|94,1.00,,exp non trovata
Pokemon|Ejoes|001/001|UNK|ITA|95,1.00,,exp non trovata
Pokemon|Jilvty|068/086|UNK|ITA|96,1.00,,exp non trovata
Pokemon|Mazmi|126/132|UNK|ITA|97,1.00,,exp non trovata
Pokemon|Mazni|125/132|UNK|ITA|98,1.00,,exp non trovata
Pokemon|Tjvj|010/067|UNK|ITA|99,1.00,,exp non trovata
Pokemon|Zat|067/086|UNK|ITA|100,1.00,,exp non trovata
Pokemon|Jagnt|106/193|UNK|ITA|101,1.00,,exp non trovata
Pokemon|Xzdj|053/080|UNK|ITA|102,1.00,,exp non trovata
Pokemon|Cfj|050/080|UNK|ITA|103,1.00,,exp non trovata
Pokemon|Llino|048/080|UNK|ITA|104,1.00,,exp non trovata
Pokemon|Xzdj|053/080|UNK|ITA|105,1.00,,exp non trovata
Pokemon|Ivxy|056/080|UNK|ITA|106,1.00,,exp non trovata
Pokemon|Flino|048/080|UNK|ITA|107,1.00,,exp non trovata
Pokemon|Elrikno|050/080|UNK|ITA|108,1.00,,exp non trovata
Pokemon|Xzdj|053/080|UNK|ITA|109,1.00,,exp non trovata
Pokemon|Emlino|001/001|UNK|ITA|110,1.00,,exp non trovata
Pokemon|Lzt|001/001|151|ITA|111,1.00,,bp non trovato
Pokemon|Jagtt|058/086|UNK|ITA|112,1.00,,exp non trovata
Pokemon|Xjdj|060/086|UNK|ITA|113,1.00,,exp non trovata
Pokemon|Ivx|056/080|UNK|ITA|114,1.00,,exp non trovata
Pokemon|Egqino|057/086|UNK|ITA|115,1.00,,exp non trovata
Pokemon|Elano|057/086|UNK|ITA|116,1.00,,exp non trovata
Pokemon|Jcvzt|063/086|UNK|ITA|117,1.00,,exp non trovata
Pokemon|Nut|058/086|UNK|ITA|118,1.00,,exp non trovata
Pokemon|Stb|058/086|UNK|ITA|119,1.00,,exp non trovata
Pokemon|Jcvit|063/086|UNK|ITA|120,1.00,,exp non trovata
Pokemon|Qeno|048/080|UNK|ITA|121,1.00,,exp non trovata
Pokemon|Jig|058/086|UNK|ITA|122,1.00,,exp non trovata
Pokemon|Rino|057/086|UNK|ITA|123,1.00,,exp non trovata
Pokemon|Eeasno|060/086|UNK|ITA|124,1.00,,exp non trovata
Pokemon|Jandt|061/086|UNK|ITA|125,1.00,,exp non trovata
Pokemon|Att|071/108|UNK|ITA|126,1.00,,exp non trovata
Pokemon|Ztt|059/086|UNK|ITA|127,1.00,,exp non trovata
Pokemon|Jige|064/086|UNK|ITA|128,1.00,,exp non trovata
Pokemon|Zaub|062/086|UNK|ITA|129,1.00,,exp non trovata
Pokemon|Lus|064/086|UNK|ITA|130,1.00,,exp non trovata
Pokemon|Lazdt|053/086|UNK|ITA|131,1.00,,exp non trovata
Pokemon|Lis|064/086|UNK|ITA|132,1.00,,exp non trovata
Pokemon|Zagat|055/080|UNK|ITA|133,1.00,,exp non trovata
Pokemon|Listt|049/080|UNK|ITA|134,1.00,,exp non trovata
Pokemon|Elleno|052/080|UNK|ITA|135,1.00,,exp non trovata
Pokemon|Jastt|049/080|UNK|ITA|136,1.00,,exp non trovata
Pokemon|Dwkdo|104/193|UNK|ITA|137,1.00,,exp non trovata
Pokemon|Xib|001/001|UNK|ITA|138,1.00,,exp non trovata
Pokemon|Jlvjt|063/086|UNK|ITA|139,1.00,,exp non trovata
Pokemon|Xiv|109/193|UNK|ITA|140,1.00,,exp non trovata
Pokemon|Jvit|001/001|UNK|ITA|141,1.00,,exp non trovata
Pokemon|Jcvzt|001/001|UNK|ITA|142,1.00,,exp non trovata
Pokemon|Pok|081/088|UNK|ITA|143,1.00,,exp non trovata
Pokemon|Viola|001/001|UNK|ITA|144,1.00,,exp non trovata
Pokemon|Aluto|075/088|UNK|ITA|145,1.00,,exp non trovata
Pokemon|Pan|001/001|UNK|ITA|146,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|147,1.00,,exp non trovata
Pokemon|Fase|058/088|UNK|ITA|148,1.00,,exp non trovata
Pokemon|Fase|001/001|UNK|ITA|149,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|150,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|151,1.00,,exp non trovata
Pokemon|Faseu|093/132|UNK|ITA|152,1.00,,exp non trovata
Pokemon|Base|050/064|UNK|ITA|153,1.00,,exp non trovata
Pokemon|Ultra|091/091|PAF|ITA|154,1.00,,exp non trovata
Pokemon|Fase|020/064|UNK|ITA|155,1.00,,exp non trovata
Pokemon|Base|003/064|UNK|ITA|156,1.00,,exp non trovata
Pokemon|Base|006/06|UNK|ITA|157,1.00,,exp non trovata
Pokemon|Scambio|194/198|UNK|ITA|158,1.00,,exp non trovata
Pokemon|Ajuto|001/001|PAF|ITA|159,1.00,,exp non trovata
Pokemon|Basg|062/162|UNK|ITA|160,1.00,,exp non trovata
Pokemon|Base|040/064|UNK|ITA|161,1.00,,exp non trovata
Pokemon|Base|036/091|PAF|ITA|162,1.00,,exp non trovata
Pokemon|Aluto|090/094|UNK|ITA|163,1.00,,exp non trovata
Pokemon|Base|031/091|PAF|ITA|164,1.00,,exp non trovata
Pokemon|Base|032/091|UNK|ITA|165,1.00,,exp non trovata
Pokemon|Base|007/091|PAF|ITA|166,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|167,1.00,,exp non trovata
Pokemon|Fasg|001/001|UNK|ITA|168,1.00,,exp non trovata
Pokemon|Fasg|065/094|UNK|ITA|169,1.00,,exp non trovata
Pokemon|Gelato|091/094|UNK|ITA|170,1.00,,exp non trovata
Pokemon|Fasg|001/001|UNK|ITA|171,1.00,,exp non trovata
Pokemon|Base|014/015|UNK|ITA|172,1.00,,exp non trovata
Pokemon|Fase|012/015|UNK|ITA|173,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|174,1.00,,exp non trovata
Pokemon|Basg|079/162|UNK|ITA|175,1.00,,exp non trovata
Pokemon|Fasg|071/719|UNK|ITA|176,1.00,,exp non trovata
Pokemon|Base|122/217|UNK|ITA|177,1.00,,exp non trovata
Pokemon|Fase|036/182|UNK|ITA|178,1.00,,exp non trovata
Pokemon|Fase|036/182|UNK|ITA|179,1.00,,exp non trovata
Pokemon|Base|026/094|UNK|ITA|180,1.00,,exp non trovata
Pokemon|Fase|006/217|UNK|ITA|181,1.00,,exp non trovata
Pokemon|Basg|001/001|UNK|ITA|182,1.00,,exp non trovata
Pokemon|Fase|005/159|UNK|ITA|183,1.00,,exp non trovata
Pokemon|Fase|013/217|UNK|ITA|184,1.00,,exp non trovata
Pokemon|Rea|100/131|UNK|ITA|185,1.00,,exp non trovata
Pokemon|Fase|022/064|UNK|ITA|186,1.00,,exp non trovata
Pokemon|Base|001/001|UNK|ITA|187,1.00,,exp non trovata
Pokemon|Fase|012/094|UNK|ITA|188,1.00,,exp non trovata
Pokemon|Base|011/094|UNK|ITA|189,1.00,,exp non trovata
Pokemon|Fase|001/001|UNK|ITA|190,1.00,,exp non trovata
Pokemon|Fase|060/086|UNK|ITA|191,1.00,,exp non trovata
Pokemon|Base|086/131|UNK|ITA|192,1.00,,exp non trovata
Pokemon|Oggetto|159/162|UNK|ITA|193,1.00,,exp non trovata
Pokemon|Decrittazione|145/162|UNK|ITA|194,1.00,,exp non trovata
Pokemon|Base|136/217|UNK|ITA|195,1.00,,exp non trovata
Pokemon|Base|130/217|UNK|ITA|196,1.00,,exp non trovata
Pokemon|Tromba|001/001|UNK|ITA|197,1.00,,exp non trovata
Pokemon|Basg|098/217|UNK|ITA|198,1.00,,exp non trovata
Pokemon|Base|134/217|UNK|ITA|199,1.00,,exp non trovata
Pokemon|Fasez|132/217|UNK|ITA|200,1.00,,exp non trovata
Pokemon|Fase|129/217|UNK|ITA|201,1.00,,exp non trovata
Pokemon|Base|133/217|UNK|ITA|202,1.00,,exp non trovata
Pokemon|Base|054/088|UNK|ITA|203,1.00,,exp non trovata
Pokemon|Fase|028/088|UNK|ITA|204,1.00,,exp non trovata
Pokemon|Fase|606/088|UNK|ITA|205,1.00,,exp non trovata
Pokemon|Base|057/086|UNK|ITA|206,1.00,,exp non trovata
Pokemon|Base|067/094|UNK|ITA|207,1.00,,exp non trovata
Pokemon|Base|051/088|UNK|ITA|208,1.00,,exp non trovata
Pokemon|Base|001/001|MEW|ITA|209,1.00,,exp non trovata
Pokemon|Base|012/193|PAL|ITA|210,1.00,,exp non trovata
Pokemon|Base|086/159|UNK|ITA|211,1.00,,exp non trovata
Pokemon|Fase|001/001|UNK|ITA|212,1.00,,exp non trovata
Pokemon|Byx|080/086|UNK|ITA|213,1.00,,exp non trovata
